Author,Rating,Review Title,Full Review,Likes,Dislikes,Date
Devraj Garuda,5,Mind-blowing purchase,Awsm mobile,0,0,1 month ago
siva venkataiya,5,Mind-blowing purchase,good fire,0,0,1 month ago
Nitin Vasave,2,Could be way better,"Battery backup is not enough even I m not using phone all day,  without using gameplay it's not achieve 6 hrs, waste of money, don't buy it go for another phone on this price range",0,0,2 months ago
Ravi INR,5,Classy product,It's good,0,0,2 months ago
Kishor Sarkqr,3,Nice,Mobile is very nice,0,0,2 months ago
Flipkart Customer,5,Fabulous!,This is a awesome product inhand feeling is best performance is best,0,0,2 months ago
Flipkart Customer,5,Super!,Everything is awesome except camera and main disadvantage is accessories like mobile case and other things u can't get easily in markets,1,0,2 months ago
Flipkart Customer,1,Waste of money!,"Don't buy this phone, i'm telling this after one year user experience. I bought it for gameing purpose but  the processor and motherboard is not good. The phone is not responding on taps and its motherboard get damaged without any symptoms.The product is just waste of money",1,0,2 months ago
siva ssr,5,Classy product,Best gaming mobile in low price 👍poco f3 gt,0,0,2 months ago
Rohit  sahoo,5,Perfect product!,I like this products,0,0,2 months ago
Rajesh Khanwani,5,Great product,Good 👍,0,0,2 months ago
Subhas Biswas,5,Terrific,All Rounder Smartphone.,0,0,2 months ago
Selim  Khan,4,Very Good,Performence is very good,0,0,2 months ago
Sanket Kumar,5,Worth every penny,Awesome mobile in this price,0,0,2 months ago
Bhaskar Jyoti Dutta,4,Delightful,Nice phone. 👍👍👍👍,0,0,2 months ago
Ramesh V,1,Waste of money!,"Writing review after one year of usage , speaker giving some distortion noise while playing any media one of the worst product don't buy it",0,0,3 months ago
Aman  Rajput,4,Delightful,Super,0,0,3 months ago
Shaik Thouhid Basha,5,Super!,Superb phone and rock it 😃,0,0,3 months ago
Flipkart Customer,5,Excellent,Good awesome phon nice ,0,0,3 months ago
Nitish Belavatigi,5,Awesome,"Used this mobile for more then a year, for hard core gaming and office use. But still no hanging issue. The design and the notification light is a attention seeker. Facing some minor problem with the audio mic I hope it's because the mobile has fallen many times. Produced is worth money. Go for it. Sliver is better then black colour",0,0,3 months ago
Debo Jyoti Sen,5,Terrific purchase,Product quantity very nice,0,0,3 months ago
Sourav Halder,5,Simply awesome,Good,0,0,3 months ago
Amit Kumar  Dehuri,3,Just okay,Awesome👍 phone   but but it's heavy Hit when u play game like freefire and also hanging start this time   really low performance,0,0,3 months ago
vaisakh chandran,1,Worthless,Phone is excellent but don't buy it because after the warranty period phone software will damage it will effect phone hardware mine got damaged display,1,0,3 months ago
Shushant Baluni,1,Hated it!,"Waste of money plz dont buy it , in this price range u can buy much  better then this",0,1,3 months ago
Shrimali Ankit pareshbhai,4,Good choice,Nice phone to daily to daily task and also For Gamer I think Performance quite low compare to other Phones.Camera is Nice and Touch and Display is Awesome,0,0,3 months ago
Suresh Vuppu,4,Nice product,Battery backup good ,0,0,3 months ago
Shahid Khan,4,Value-for-money,Everything is good except poco launcher and little bit heating issue when heavy gaming.,0,0,3 months ago
Flipkart Customer,5,Terrific purchase,Good,0,0,3 months ago
Flipkart Customer,5,Awesome,Osam phone performance is next level i love it ❤,0,0,3 months ago
Mazhar Bilal Ahmed,4,Good choice,"After 6 month of use , I can say that it is a decent phone in performance. But don't expect to much from its cameras.",0,0,3 months ago
Flipkart Customer,1,Not recommended at all,Bro dont play pubg in this phn in hDR. Your phn prformness will be decreased very low 😓,0,0,3 months ago
Rahul Khachane,5,Classy product,Review after 350 days of purchase.,3,0,3 months ago
Saleem  Khan,5,Best in the market!,Super,0,0,3 months ago
Flipkart Customer,5,Excellent,This phone is best gaming phone,0,0,4 months ago
ijajul Islam,4,Worth the money,Good,0,0,4 months ago
Sreoshi Chakraboty,5,Classy product,Superb,0,0,4 months ago
Nishu Kumari,5,Perfect product!,Just an awesome phone,0,0,4 months ago
Hanumesh Hanu,4,Very Good,1. Camera is good. ,0,0,4 months ago
Abdul  Hannan,1,Worthless,Very bad device performance is nill,0,0,4 months ago
abdul basit,4,Wonderful,I have only issue in this device and that is camera.,0,0,4 months ago
Flipkart Customer,5,Awesome,This phone is altimet for one who buy gaming  purpose long time battery life,0,0,4 months ago
Subhankar Dey,5,Awesome,It shouldn't be expected bcz it's gaming phone... but still its camera takes very Amazing photos 🤩🤩,1,0,4 months ago
Suresh kumar k 9090 Suresh,5,Mind-blowing purchase,Good,0,0,4 months ago
Simidi Satyavathi,4,Pretty good,I buy a poco f3 gt 1 month ago. ,0,2,4 months ago
Shrishail Kulloli,5,Great product,It's best phone,0,0,4 months ago
Rkm Mirdha,5,Mind-blowing purchase,Poco f3 gt mobile so gorgeous ❤️,0,0,4 months ago
Sai Krishna  Tolabandi,4,Wonderful,After two weeks of usage. Phone built quality is good. Good feel in hand. Little bit heavy for some users. ,0,0,5 months ago
Ankit Gupta,3,Decent product,I'm reviewing After 3 months of usage ,0,0,5 months ago
Flipkart Customer,2,Slightly disappointed,Phone heating issue,0,0,5 months ago
Vinoth Kumar,5,Brilliant,WhAt a Mobile Poco🔥,0,0,5 months ago
Flipkart Customer,1,Don't waste your money,Phone getting switched off automatically in 3-4 hours,0,0,5 months ago
deepak jaiswal,5,Just wow!,one of the best gaming smartphone,0,0,5 months ago
Aravind Aravindraj,2,Slightly disappointed,Okay,0,0,5 months ago
Hardik Patel,5,Fabulous!,Nice phone must buy without hearing anything,1,0,5 months ago
Sri Murari,1,Useless product,Very poor product.worst peace.i never see this type of peace.,0,0,5 months ago
salman,5,Awesome,Good,0,0,5 months ago
Flipkart Customer,4,Very Good,"Phone is good n slim... If it was available @ d cost of 25k, I would hav appreciated....",0,0,5 months ago
Sourav  Nayak ,5,Highly recommended,Good Product,0,0,5 months ago
Tamal  Debbarma,2,Slightly disappointed,Not worth the price.. Hangs quite often...,0,0,5 months ago
Flipkart Customer,5,Terrific purchase,Good product must buy,0,0,5 months ago
Flipkart Customer,1,Waste of money!,Awesome product 😘,0,0,5 months ago
Remy Basak (Mondal),4,Very Good,Gd,0,0,5 months ago
Prinish Kp,3,Good,Game performance is not that smooth as per the reviews. I bought this phone only for CODM but it's not that responsive. Right now I'm adjusting with the thing I got.,0,0,5 months ago
Dasari Sandeep Reddy,5,Awesome,It's one year now a wonderful experience with this device - Unlimited gaming speciality with triggers and non heat features,0,0,5 months ago
Vijay Pavushetti,4,Good quality product,Nice,1,0,5 months ago
Flipkart Customer,4,Very Good,Worth of this cost beast one poco gt,0,0,5 months ago
Manoj  Kumar ,5,Super!,Very good,1,0,5 months ago
Flipkart Customer,5,Classy product,Nice i love it,0,0,5 months ago
Zala  Sumit,3,Decent product,Facing Battery drain problem 😕,2,0,5 months ago
Abdul Telasang ,5,Classy product,Good phone,0,0,5 months ago
Johnson  Kumar ,4,Pretty good,I'm happy,0,0,5 months ago
Aryan Gavit,3,Does the job,Best gaming phone,0,0,5 months ago
Flipkart Customer,5,Highly recommended,Very good mobile I loved it,0,0,6 months ago
jaspreet singh,5,Super!,great,0,0,6 months ago
Suraj Adhikary,4,Worth the money,Product is nice also value for money 😊❤️,0,0,6 months ago
Pankaj Saini,1,Unsatisfactory,Camera quality was very bad,0,0,6 months ago
layak patel,5,Simply awesome,Super,0,0,6 months ago
sahadev badaik,5,Super!,Good performance,0,0,6 months ago
Sabarish Sabu,4,Good quality product,REVIEW AFTER 1 YEAR OF USAGE,0,0,6 months ago
Kanak  Sarkar,4,Nice product,Very good,7,0,"Oct, 2021"
Sribash  Halder,5,Brilliant,Nice phone😍,0,0,"Nov, 2021"
Devadethan Dileep,5,Must buy!,Best,0,0,"Oct, 2021"
sandip kumar mahara,5,Great product,Very good,1,1,"Oct, 2021"
Arif Xess,3,Just okay,I'm facing issues with the fast changing.,2,0,"Oct, 2021"
Kowshik .D,5,Terrific,Awesome thanks,0,0,"Oct, 2021"
Flipkart Customer,5,Fabulous!,Bought this phone 2 days ago trust me this is a beast…overall performance is d best in segment .if u really a game lover go for it…,30,8,"Oct, 2021"
Raju Alluri,5,Best in the market!,Amazing phone,0,0,"Oct, 2021"
Vyom,5,Brilliant,reviewing after 5 days of use...,1,0,"Nov, 2021"
Tharankumar S,5,Just wow!,Poco F3 GT it's a perfect mobile for playing games. Sound effects also good. I'm giving this feedback after 10days. Magnetic Trigger buttons are also good. Charging also fast charging. I tried to purchase 6GB RAM mobile. But big billan days offer time that mobile not available. So I purchased 8GB RAM mobile. That mobile pouch was suitable for it.,8,0,"Oct, 2021"
Flipkart Customer,5,Fabulous!,No words to say such a wonderful mbl thank u poco,0,0,"Oct, 2021"
Ashok Bairu,5,Super!,Good Quality,0,0,"Nov, 2021"
Kelvin Varghese,4,Nice product,Updated review ,1,0,"Oct, 2021"
Hanif A  Mer,4,Pretty good,Sound quality super Dolby & Display super Speed parfomans,0,0,"Nov, 2021"
