Author,Rating,Review Title,Full Review,Likes,Dislikes,Date
Avinash  choubey,5,A complete beast nd flagship killer,1st back pannel is so premium that u won't feel plastic... 2nd the camera and performance is mind blowing.. the 845 snapdragon works so blazing fast that you won't find any lag. Battery is amazing... I just used an hour nd i must say it is so fast and better than oneplus 6 or any other flagship phones.. Don't read review just go nd get it,972,279,"Aug, 2018"
Alif Ali Khan,5,Simply awesome,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,",162,41,"Sep, 2018"
Subho Chakraborty,5,Simply awesome,"Great phone. value for money(64GB,6GB).",106,25,"Sep, 2018"
Karthik Venkatesan,5,Worth every penny,Fantastic phone for the price. ,100,26,"Sep, 2018"
Deepak Panchal,5,Perfect product!,"Hi, i am using the POCOPHONE 6/64 graphene black for the past two weeks. Here is my opinion about the phone.",331,402,"Sep, 2018"
shiv Kumar,5,Highly recommended,"After using this phone for a couple of days, i must say there is no better phone in this price segment when it comes to value for money. Though everyone knows that this the cheapest snapdragon 845 phone in the market as of now, i would like to divide my review between Pros & Cons.",78,109,"Sep, 2018"
Sivashankar Murali,5,Highly recommended,"Ah. At last a budget phone with Flagship Processor, Good battery and superb camera. Let me start with the pros and cons. BTW, if you want a good smartphone I will highly recommend this phone. Go for it blindly.",23,5,"Sep, 2018"
Abhishek,5,Best Bang for your money,1.) Screen : I was concerned about the quality of the screen before ordering but to my surprise the quality is amazing. Colors are good and you do have option to adjust the color tones to your liking as well. It even have Corning Gorilla glass 3 which has a oleo-phobic coating on it to resist fingerprints.,22,4,"Sep, 2018"
Gurmatpal Singh,4,Wonderful,*Poco F1 Review*,89,65,"Sep, 2018"
DeeKay Goswami,5,Awesome,Pros: ,57,11,"Sep, 2018"
JayaDev Chary,5,Highly recommended,"The perfect Budget flagship & Value for money phone as of now in the market. My initial impression of device when I unboxed is, The display. The display is really good with great contrast and punchy colours. but bezels are slightly on heavier side. Next thing what I like is the Battery. It's really extraordinary. I got approx. 7-8 hrs of screen on time, which is great for Snapdragon 845 chip. There's no negative thing to talk about the performance. Its simply Beast for the price. The graphics...",53,70,"Sep, 2018"
Azim Kabra,5,Fabulous!,Here Is My Review After 3 Months Of Heavy Usage. I Will Just Go Through Pros And Cons (Not Actually Cons). Must Read The Conclusion. ,31,8,"Jan, 2019"
Shahebaz Ahmed,5,Super!,Omg!!! I never thought as if i will buy a flagship ever in my life even if i had that much money...But this flagship came at midrange price of  20k and converted my dream into reality.,68,13,"Aug, 2018"
Shrey Bhagdikar,5,Mind-blowing purchase,Brilliant set under the excellent prize ... With seriously finest Delivery by flipkart thanks :),90,16,"Aug, 2018"
Shyamsai Sunkara,5,Unbeatable Beast!!,Poco F1 the game changer in smartphone world. It has the best hardware ever. Coming to mobile following are my personal opinions after using it for 14 hours.,48,16,"Aug, 2018"
Parth  Dave ,5,Perfect product!,first of all thanks for early delivery in awkward area Flipkart works well . ,96,82,"Sep, 2018"
Flipkart Customer,5,Best in the market!,Performance 10/10... Display 8/10...... Build quality 7/10...... Back camera 8.5/10  front camera 10/10 features 9.5/10...... battery backup(daily basis) 10/10 overall 9.4/10... Class leading smartphone basically concentrated on performance and selfie..... New budget performance smart phone for gamers.... Liquid cool actually works after 2 hrs of gaming temp recored 36.5°c not at all heated... Becomes warm(39°c) while charging but it's due fast charger..... Well its only miss out on built qua...,82,24,"Sep, 2018"
tanay  phalke,5,Perfect product!,TRUE VALUE FOR MONEY,31,7,"Aug, 2018"
Sujit Sa,5,Mind-blowing purchase,"Awesome phone, Performance is really good. Fast and crisp. Good camera quality, both front and back. upgraded to MIUI 10.2.2 and Android pie 9. ",66,2,"Apr, 2019"
Bhaskar Debnath,5,Super!,Review after 7 months of use--,74,5,"Oct, 2019"
Sayantan Roy,5,Terrific,really a great phone..super snappy..and more over i was quite sceptical about the back being plastic..but to my surprise when i first hold it..it wasnt bad at all..infact it is quite sturdy and to those who doesn't know that the back is made up of plastic ,91,23,"Sep, 2018"
Siva Prakash,1,Very poor,Using it for 4 days now. Everything seems good except notch in the display. That's the deal breaker.,76,72,"Sep, 2018"
GAURAV Bassi,5,Best in the market!,"I am writing this review after 2 days of usage, this is simply an outstanding piece of device for Indians.",92,23,"Sep, 2018"
Vigneshwaran Sukumar,5,Perfect product!,"Bought 6gb ram / 64 gb Graphite back! Sale lasted for 5min, so I think there was suffuenct stocks.",27,9,"Aug, 2018"
Rahul kunjam,5,Classy product,fabulous processor in this range..,43,15,"Sep, 2018"
Deepak  Choudhary,5,Worth every penny,Easily setting the bar when it comes to value for money. This phone shows how big brands are looting you in the name of their respective brands. SD845 is a beast of a processor and it doesn't disappoint one bit. If you're a benchmarks person then you can gain much satisfaction seeing your phone on the top 10 list equalling the likes of even S9. ,76,62,"Sep, 2018"
ANIMESH  Das,5,Best in the market!,A great achievement of Xiaomi after lunching a bogus production like Mine A2 .,26,6,"Aug, 2018"
Flipkart Customer,5,Best in the market!,reviewing after using 7days i m a moto user 1St phone i HV picked mi. but its simply awesome phone camera is good but selfie is better and battery Lyf  is very good and its fingerprint is fast and it is value for money at this range,82,4,"Nov, 2019"
Sayantan Sarkar,5,Terrific,Here is my review after 1week of heavy usage. ,74,24,"Sep, 2018"
Vijay  Naragund,5,Terrific,I have Using the mobile for And Really thanks for Flipkart for One day delivery so fast i was Surprised and The Mobile is the Beast Value for Money Great Features Master of Speed as the Line Says Don't think just go for it.,87,1,"Aug, 2018"
Abdullah A,5,Terrific purchase,Best smartphone ever under this price range...i bought this phone on the first sale in 50 sec but i thought I'm gonna miss this out but the sale went for nearly 5 mine and the thing all talking about the build quality but i don't care about it when it comes to internal parts like the flagship processer and ram management etc.... everything is awesome and why I'm posting this review now is cuz I thought to put this review after a week use so now I'm posting it and I'm telling you all that don'...,23,7,"Sep, 2018"
Kiran Kumar Ambati,5,Mind-blowing purchase,Very good performance. Battery is good. Built quality also good. I get it for Rs.19999 with HDFC Bank offer. it is an awesome deal from Flipkart. Camera rocks. IR face unlocking is very very fast. I don't using finger print unlock because face unlocking did not fail even one time. Great features flagship mobile under 20 k. I loves it. Should go for it without any doubts.,29,11,"Sep, 2018"
Harshvardhan Patil,5,Excellent,Very nice phone Designed by Xiaomi. Only 21k bucks super configuration is give. Father of speed due to snapdragon 845. Nice job by developer. Camera with AI good performance.,70,9,"Sep, 2018"
Arup Chakraborty,5,Mind-blowing purchase,excellent phone at a excellent price. Good camera. Good at performance. Build quality could have been little better.,69,1,"Jul, 2019"
Santosh Sutar,5,Mind-blowing purchase,Xiaomi sub brand Poco F1 is really a beast and best in class in this budget.Camera clarity is excellent and the sound quality is also best.,97,23,"Sep, 2018"
Ashish Pithawe,5,Awesome,Mobile is good . But from my point of view the touch is not so good or smooth as compared to samsung mobile . But all the things are good.,19,1,"Dec, 2018"
Prasant kumar Jena,5,#sexy killer phone(power hub),#killer phone ,23,6,"Aug, 2018"
Hanna,5,Terrific purchase,"worth buying it. using this for the past 6 months. no complaints  . everything is ok with this. good processor, nice camera, display. al features are good in thi",36,3,"Oct, 2019"
Shivanshu Kumar,5,Worth every penny,"Got my phone, seal packed. I followed this phone after its launch and was super excited since that. Finally got it on 31 March, delivered within two days.",40,1,"Apr, 2019"
Purushothaman S,4,Good quality product,I'm uploading my Review after 3 months from the purchased date. ,28,2,"Aug, 2019"
milan sonigra,5,Terrific,what to say about this phone! it's an absolute beast in every way many people complains about its design that it's not premium looking but the design is best for daily usage. it's an utility design. very good performance no hiccups and lags at all. camera is also best and can utilise it's full potential by installing Google camera. battery is awesome and it has quick charge too.,70,10,"Oct, 2018"
Nirbhay Bhagchandani,4,Worth the money,Camera - 8.5/10,11,0,"Sep, 2018"
Kota Anirudh,5,Wonderful,it's been 5 months i bought my POCO f1,10,0,"May, 2019"
Flipkart Customer,5,Wonderful,"i was quite confused between poco and note 7 pro but i choose this. price was unimaginable 13499 exchanging my old oppo a57 in 6600. now coming to this phone. it is hard to believe the overall performance. camera is decent and notch is quite bigger as compare to many recent phones. but except this phone is pure gold. battery is superb processor is superfast 845 sd pubg runs like butter on hot chapati ""smoooth"". i havnt seen screen bleeding as many people were complaining about face unlock is ...",14,1,"Mar, 2019"
Shivansh srivastava,5,Excellent,One of the best mobile phone I have come across yet.,8,0,"Mar, 2021"
Sandeep Gupta,5,Classy product,As I m using this phone since last 20 days I have seen that this phone is a BEAST in this price range.,9,0,"May, 2019"
Smit Thakkar,5,Classy product,Last phone that I used - OnePlus One.,8,0,"Dec, 2018"
Biju Varghese,5,Terrific,very good mobile phone with best performance on this price range. Both cameras are excellent and very good battery backup. Excellent for gaming and photography..,17,2,"Mar, 2019"
Abhishek Kumar,5,Perfect product!,"Awesome build, excellent storage capacity, breathtaking processor, good camera, aur kya chahiye bhai ?",7,0,"Oct, 2019"
Siddharth Balajee,5,Terrific,"I've been using this phone for over 2 months now, and more than anything I keep pinching myself to make sure I'm not dreaming. THIS PHONE DOES WAAY MORE THAN ITS PRICETAG LETS ON. ",7,0,"Apr, 2019"
Manjunath patil,5,Great product,The best flagship experience you can get at this price range,18,3,"Sep, 2018"
Flipkart Customer,5,Best in the market!,just Wow!,17,3,"Nov, 2018"
Arun Guruswamy,5,Wonderful,it's really a good flagship.,10,1,"Sep, 2018"
Deepesh Meena,5,Terrific purchase,I have been using this phone for 2 years still so good battery 🔋 life is average but charging is faster so no problem camera quality is good install gcam if you want better results processing power can still give good fight to current versions of poco. Overall 4/5,6,0,"Apr, 2021"
official sank,5,Best in the market!,Product - rose red looks very premium.,6,0,"Oct, 2019"
shashank  maheshwari,5,Fabulous!,"very good i have almost used for 2 year this mobile and the battery backup is good ,camera is excellent as compare to oneplus 6 and only the negative point is that apperance is not too good but at this price it is excellent and value for money.i use pubg and call of duty both no laging problem and fastest processor in the range .only display is not amoled it is ips lcd.",7,0,"Jul, 2019"
Dev Behera,5,Brilliant,this review is for users who wants this phone in 2k19,6,0,"Jun, 2019"
Hriday Pal,5,Brilliant,"I'm raring this mobile now after 10 months of restless usage. This review is for 6GB Ram and 128GB ROM. First of all I used so many mobiles but this is a champ! If you need a heavy duty gadget than go for it with closing your eyes. Processor is lighting fast. In last 10 months, it never make wait for anything anytime and liquid cooling is like cherry on the top of cake. It hardly need 80-90 mins to get fully charged from 0-100 and 4000 mah battery really lasts long. In every bit of performanc...",6,0,"May, 2019"
Milind dey,5,Perfect product!,"Hi all i got an amazing deal during new year on poco at 18k with exchange for 6GB Ram n 128GB memory model...Thanks flipkart for it,also delivery was within 2 days from ordering😄(Rosso Red is mesmerising stunner alternative to boring black n blue)",6,0,"Jan, 2019"
Suhas Kamat,5,Awesome,"I bought this phone in September 2018. This phone has never let me down since then. The battery is lasts over a day, camera is the best even when compared to iPhone XR, processor, display is very good. I have used it for 4 years now and just got the battery changed. Now after changing the battery it feels like new and want to keep the phone for more and more years. POCO has invented an invincible phone!",9,1,"Jan, 2022"
Pranav Phadte,5,Just wow!,1.wow man what a phone damn awesome just love it...don't go on the plastic back...if you add a cover ull not notice it,9,1,"Sep, 2018"
Amit Dhar,5,Excellent,"I have purchased this mobile on 23rd November of 2018 & today is 25th January of 2021 so I am using this mobile from last 2 years,2months..",13,2,"Jan, 2021"
sudhakar padmanaban,5,Awesome,"It's been 1 year with poco f1, my first flagship purchase from Xiaomi. Initially lot of camera software bugs were there then later those bugs are addressed with upgrade patches from Xiaomi. Software upgrade support they provide for this model is too good.                                    Now coming to performance of the device it is very good still there is no lagging in opening the applications. Camera wise in this price range it is accelerating and more over if you try with pixel camera p...",12,2,"Sep, 2019"
Krishnayan Chakraborty,5,Brilliant,"It's my first day of usage.The phone is butter smooth.Phone calls are clear.All apps open very quickly.Sound is loud, Videos and photos in daytime are clear.Zoomed in pictures loose some detail,however you can't expect everything. I am very impressed with its low light photography ability(indoor).It takes brilliant pictures with both the cameras.Its portrait mode is good.It has a screen flash in front (no front led flash), however the screen flash allows you take very clear selfies in total d...",12,2,"Sep, 2018"
Farhad Uddin,5,Wonderful,very stylish phone n easy to use.smooth touch n superfast experience. worth every penny. just wow,17,4,"Oct, 2018"
Abishek Babu,5,Best in the market!,A perfect phone under 25k. ,17,4,"Sep, 2018"
Amar Babu,5,Highly recommended,Value For Money🤩🤩🤩,5,0,"Sep, 2019"
Soumya Kumari,5,Worth every penny,review after full day of usage.,5,0,"Aug, 2018"
Tarun Rathwa,5,Super!,dont wast time just get it. its amazing ,14,3,"May, 2019"
vishall singh,5,Must buy!,Bought it for INR 18900 at BBD sale. it couldn't be an better.,11,2,"Oct, 2018"
Tom C,5,Fabulous!,Highly Satisfied with the money I spent. In fact it was more than enough. True Value for money device. I'm fully satisfied with the purchase. Big thanks goes to Xiaomi for this product. My previous device was a Redmi Note 5 Pro. Held it for 5 months till I got fed up with SD 636. Thus fully Satisfied with this Top of the Line Chipset. No Lags whatsoever. I would Gladly and Highly Recommend this Device to any of my friends and relatives.,11,2,"Sep, 2018"
Prasad Murmey,5,Highly recommended,pocco f1 : Value for money and quality. SD845 gives smooth experience. fast charging is very impressive. camera is best in segment. ,8,1,"Aug, 2019"
KVS PRAKASH  BABU,5,Best in the market!,pros,15,4,"Mar, 2019"
nuthan prasad,5,Everything is awesome about the phone,"I have used several 40k plus costing smartphones before. But this is the best according to me when it comes to performance, quality and value for money.  ",15,4,"Aug, 2018"
Sagarika Patnaik,5,Best in the market!,"After nearly two months of usage, this is my verdict:",10,2,"Dec, 2018"
Mayank Raj,5,Terrific purchase,Got it delivered within 36 hrs. thnks Flipkart.,10,2,"Sep, 2018"
Infant Praveen Savarimuthu,5,Brilliant,"The real master of speed. Best camera in the segment, IR face recognition, sd845, Dual 4G everything works like a charm. All this just at 21k. Yeah it doesn't have a glass back, but who cares. It's has solid feel on hands. I moved from Note 5 pro to this and poco feels handy than Note 5 pro. In gaming, it gets highest graphical settings in all games. Played pubg at highest possible graphics for 5 classic matches straight, never felt frame drop. And for a continuous 3 hour pubg session, batter...",12,3,"Sep, 2018"
Ramanand Thakur,5,Terrific,Writing this review after completing 2 years of daily usage.,4,0,"Jul, 2021"
Vinith Moduguru,5,Just wow!,It's been 2.5 years since I've brought this device. Seems like it lasts 1.5 years more. It's still smooth with PE Rom and the battery is still good. I'm getting 6hrs SOT. It's one of the best devices I've ever brought.,4,0,"May, 2021"
Arindam  Bera,5,Excellent,worth to buy if you looking for performance wala phone  and decent wala camera (use gcam and see magic ) under 15k best phone no one Will stand .,4,0,"Oct, 2019"
Harish Sagar M,5,Just wow!,"I am very very happy☺ with the product that I have received from Flipkart..  Love you flip kart.. only because of flip kart I took this mobile with good mobile exchange offer, discount and EMI.. app is very genuine and user friendly.. and service is also very good.. once again thank you Flipkart..😍",4,0,"Aug, 2019"
Swaranan Barman,5,Classy product,"its true master of speed. i am using the phone for last 2 weeks and its blessings fast.Im using the Rosso red varrient, and on my opinion its the best looking colour that us available, although you ab apply skins on the back. there are lots of skins available online. ",4,0,"Mar, 2019"
Vijay Kumar,5,MIND Blowing Purchase. The smartest choice i ever made,Pros:,4,0,"Jan, 2019"
KANCHAN CHAKRABORTY,5,Terrific purchase,Writing this review after using this mobile for two weeks.,4,0,"Jan, 2019"
Flipkart Customer,5,Best in the market!,one of the best phones in this range. decent camera awesome battery and super performance. display could have been better but its not bad. people might say the body is plastic but i see it as more durable than glass body.,4,0,"Dec, 2018"
Nishant Verma,5,Simply awesome,First unit I got had some display problem so I opted for replacement and Flipkart replaced it in under 3 to 4 days. After replacement the piece I got is working flawlessly. Camera is best in it's segment I have taken many pictures from front camera and back camera and both of it works fabulously and gives very Good pictures. Battery performance is also very good for me it generally last upto 24 hours on general use plus battery also get charged very quickly via Qualcomm quick charge 3.0 charg...,4,0,"Oct, 2018"
Ayush Jain,5,Excellent,review after one week of usage ,4,0,"Sep, 2018"
Ashish Agarwal,4,Delightful,"Don't rush to buy Poco F1, there are bugs",4,0,"Sep, 2018"
soham ghosh,2,Not good,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,",8,0,"May, 2020"
Satya,5,Terrific purchase,i think the best smart phone under this price segment.,15,5,"Sep, 2018"
Ranjit krishnan,5,Simply awesome,"Godspeed people. Rejoice.  I have never seen any other phone or gadget for that sake being so supremely responsive as this one. The phone is a sheer performance beast. Apps  flash n load before u can wink.The SD 845 at its heart  is truly amazing and is definitely the USP of this device. Sound over speakers is serviceable but over Bluetooth is even better. My airpods sounded better than with the iPhone 7 which I had. The battery is legendary , 2.5 hrs of SOT and it's only dropped 30 percent. ...",13,4,"Aug, 2018"
Guru Dixit,4,Pretty good,"I bought the 6GB/128GB model for 22,999",16,6,"Aug, 2018"
Prince Arora,4,Great phone to buy around 20k,"Under to hood specs are great, SD845 SoC with 6/64GB is a true value for money. Best under it's segment and it doesn't feels like a cheap phone, plastic back panel is pretty sturdy.",12,4,"Sep, 2018"
Anshu Anand,4,Really Nice,Reasons not give 5* are,10,3,"Sep, 2018"
Ifrath Arjuman ,5,Perfect product!,This phone is beast.. it gives a iphone touch like exact same notch😍 and perfomance of oneplus😘.. In day light camera is excellent on both front and rear but slightly perfomance is missing in rear during night.. ,10,3,"Aug, 2018"
Flipkart Customer,5,Classy product,"Good Phone. Poco Is My Favorite Phone. Snapdragon 845 processor is best processor in this range. Good  Camera. Good battery. Good Performance. No Lagging and Heating Issue. Overall Good, Best mobile. Me And My Mom is Happy.",8,2,"Nov, 2019"
Amit Guha,5,Super!,Mind blowing phone ... i am really speechless bcoz of its performance under 20K... Don't waste 15K more to purchase 1plus 6 . This phone is really game changer .,8,2,"Sep, 2018"
Avinash Chodavarapu,5,Wonderful,bought many phones and  also used many phones and now in 2k19 July month I bought poco F1 and became fan of it .it's camera was soo good and also video recording is best at that price still where the phones with pop up camera came at that price tag and also it had great optimisation of ram and hdr graphics pubg play and also became fan of its specs and enjoying Daily it's features at great price and it's music quality was too good while using both wireless or wired while compared to other pho...,3,0,"Aug, 2019"
Elisha Bailey,5,Terrific,awesome performance and a decent camera with great battery life..  loved it,4,0,"Dec, 2018"
Rajesh  Pattebahadur,4,Really Nice,Just get it straight.,8,2,"Sep, 2018"
Yogesh Negi,5,Great product,well to start of this phone is stupendously amazing specially for the price point it is being put for.,8,2,"Sep, 2018"
Pratham Vora,5,Highly recommended,"It's been around 3 years I'm using this phone and trust me this was my best purchase ever. Best camera, superb speed, good battery backup and almost zero heating issues. In these 3years I just replaced  my battery once as I'm a heavy user. That's it. It's 2021 and I'll still suggest you to go with this phone. More than happy !",6,1,"Jun, 2021"
Arun Angadi,5,Wonderful,"absolutely stunning phone, never been a big fan of Xiaomi but now i am. the phone is a beast in itself. If you want buy like One plus 6T then better invest in this you will get almost same performance.",6,1,"Oct, 2018"
Vaishakh PV,5,Terrific,1. design and camera exceptionally good.,6,1,"Oct, 2018"
Abhijit  De,5,Worth every penny,I am giving this review after using the handset for 2 weeks. I will give you the honest review. ,6,1,"Sep, 2018"
Flipkart Customer,5,Simply awesome,"I was almost on verge of purchasing one plus 6, when my office colleague informed me about the POCO F1. While name may sound weird and initial sceptism, but the specifications were jaw dropping. I was lucky enough to get the phone (6gb+64gb) through flash sale on 29th August and received it on 30th August. Started using it and initial observations are as follows",6,1,"Aug, 2018"
Shalu  Chadda,5,Mind-blowing purchase,Indeed it's pleasure to have a look and use this machine every time. also you may learn to use new feature every day which you will not find in any other phone in his budget. Racing fast just you select the app to install and no waiting app is installed at just blink of eye. super speed super display super camera super battery. SUPER DEAL. Just go and grab it,10,4,"Oct, 2018"
Prithwish Mondal,5,Best in the market!,Firstly thanks to flipkart for promising early delivery for my request.Love you flipkart team.,7,2,"Mar, 2019"
Saurabh  ....,5,Just wow!,"EVERYTHING IS AWESOME SPECIALY BATTERY SPEED AND FRONT CAMERA THESE ARE EVEN BETTER THAN ONE PLUS 6 SPECIALY FRONT CAMERA AND BATTERY,BACK DESIGN OF PLASTIC IS NOT GOOD BUT OKK IN PRICE ACTUALLY IT WILL BE A VERY GREAT CHALENEGE FOR OTHER COMPANY WHO LAUNCH FLAGSHIP  BECAUSE ITS A COMPLETE PACKAGE WITHIN MIDRANGE ,",7,2,"Sep, 2018"
Althameem Ali,5,Must buy!,"Okay, This Mobile brought those tech fanatics jow dropped. Being powered with Snapdragon 845, and some cool other specs. This Phone is just amazing. ",16,9,"Sep, 2018"
subin parameswaran,5,Simply awesome,2 years and still going good. Best Camera when coupled with GCAM. Phone is ultra fast and never hangs for days to day usages.,3,0,"Feb, 2021"
Bhupesh Pattanaik,5,Best in the market!,"Battery is great for normal user , not for pubg user . Well there is no phone till now to satisfy pubg's battery consumption 😅😂😂😂",3,0,"Dec, 2019"
Amit Ralph,5,Perfect product!,"well ... it did start with a load of exitement and that exitement had been the greatest for me ,,,, its camera being a dual camera is at its peak man ,,i mean  it can do 4k recording with un....believable stablity .. no shakes just a firm video all you have to do is adjust some of the settings ................have a dslr but rather prefer not to carry because my phone does the work although the pixels are not that great but everything for me is  great ....",3,0,"Dec, 2019"
Sruthi Vs,4,Nice product,It's been more than 2 months I'm using this mobile.,3,0,"Sep, 2019"
Kedar Jani,5,Awesome,I'm a Gamer and my old phone has Snapdragon 808 and it started to heat up even after 5 minutes of gameplay and it was puzzle like mini games. So I'm very disappointed and then I decided to go with it. I installed GCam in it and it really improves Camera Performance. Well it's more than worth in this price range.,3,0,"Sep, 2019"
Flipkart Customer,5,Classy product,Excellent set from mi. I've a plan to buy note 7 pro but after visit the reviews & ratings I ordered it. After receiving the Poco I am too much satisfied with it's features & qualities.  Best ever set within this budget. Must buy. But also buy a screen protector & good back cover for it.,3,0,"Aug, 2019"
Saketh Rayala,4,Nice product,"I ordered 2 phones. One for my mom and one for me. For my mom it works fine because she's not a heavy user and can live with the default apps alone. I'm not a gamer but I use about 100 apps overall and the phone performs decently once you modify the transition and animation speeds.	The ads and unnecessary apps can be removed/disabled/uninstalled in the setup phase. I've used the MI3 when it was first introduced in India back in 2014 and MIUI has come a long way since then, just like Facebook ...",3,0,"Jul, 2019"
Dheeraj Sathyanarayanan,5,Best in the market!,A detailed review post a month of usage ....The phone is a true flagship killer as it was advertised.... the pros of the phone include :,3,0,"Jun, 2019"
Abhyuday Vashisth,5,Must buy!,"This phone is just awesome. In this price range none brand offer such features, the ir face unlock is just very quick and amazing, camera is very nice, we get a lot of customisation settings in phone which are absent in other phones of this range and it gives a premium experience just like oneplus or other costly Samsung phones, the display is also pretty decent, there is almost no heating issues, battery is very nice lasts easily for one full day on heavy usage also and fast charging works p...",3,0,"Jun, 2019"
Arijit Mukherjee,5,Awesome,I have been using this device since last eight months. Here is my review:,2,0,"May, 2019"
sumit das,5,Great product,"The awesome phone in awesome budget...in one word it is an Affordable Beast . Anyone can say, this is the best phone under 20 k . Reviewing the phone after 8 days of use...",3,0,"May, 2019"
Phaniraja Srirama,5,Excellent,This mobile is better than asus zenfone max pro m1 & m2 and redmi note 5 Pro and redmi note 6 pro and realme 3 pro,3,0,"Apr, 2019"
Om Satalkar,4,Worth the money,"This is a three month usage review of the Poco F1 64GB. I am happy with the product but it is definitely not the excellent. Everyone knows what the pros of the device are, so I'll majorly focus on the things that hamper the user experience. ",3,0,"Mar, 2019"
Vineet  Shetty ,5,Great product,The great thing about POCO F1 is performance and battery life. Without a doubt the best phone in its segment. Fingerprint scanner and IR face unlock is quick and responsive.The MIUI 10 UI is buttery smooth overall a great phone for day to day usage.,3,0,"Mar, 2019"
Sourav Pani,5,Wonderful,"What an awesome device, face unlock works smoothly in dark as well, if upgrading from a lower phone you will experience PUBG like never before with HDR ultra frame rate.. Best thing is camera and 845 soc which can capture super slow motion @960fps that is when you fall in love with this device. I got this for 11K with 5.5Kexchange +2000 extra exchange discount +1500 icici discount.",3,0,"Mar, 2019"
Jonathan Jo,4,"The more beauty I see in every ways, Yes, I meant it.","The highest appreciation is not to utter words, but to live by them. You get the feel of Snazzy and Speed.",3,0,"Mar, 2019"
Subhadeep Dey,5,Worth every penny,5 out of 5 in every aspect I can think of. Yes I love the build too. ,3,0,"Mar, 2019"
Pratik Mavani,5,Great product,If anyone wants performance only.. the best phone ever made in this world. Snapdragon 845 (flagship processor) +6 GB can do any type of computing.,3,0,"Feb, 2019"
Flipkart Customer,5,Highly recommended,"Amazing device it is. It really performs well in day to day life with no lags and freezing. Battery is long lasting, camera is superb, no heating issues even after playing games like pubg, NFS, GTA, asphalt and others for long duration. Performance is exceptional with snapdragon 845. Display is not OLED so blacks are not that deep and sometimes grainy in full brightness but except for that it is complete worth buying. I have been using this device since its launch and i have used it very rigo...",2,0,"Jan, 2019"
Hitesh Malsekar,5,Just wow!,Compare to what competitors are offering at this range this is the best phone you can buy. i got this phone for 20500/- 128gb varient and it's definatly value for money.,3,0,"Dec, 2018"
Mayur Kadam,5,Simply awesome,"The best phone for this budget, flagship processor makes it work smooth for whatever task u perform on this device.",3,0,"Dec, 2018"
Flipkart Customer,4,Pretty good,awesome camera... performance is good for this price .. class product at this price got the 6GB and 128 GB variant at 19500 deal .,3,0,"Dec, 2018"
Tushar Dwivedi,5,Optimus Prime - Flagship Phone - Everything you need,"Delivered on 22nd September, almost 3 months now. This device is the real hunk.",3,0,"Dec, 2018"
Saurav Guha,5,Just wow!,The delivery was a bit delayed. However the services are good at Flipkart.,3,0,"Dec, 2018"
